物理站址名,归属,CI,子网ID,5G基站号-网元号,eNodeBID,SectorID-Eutran小区ID,CELLName,CellID-小区号,PCI,TAC,band,UplinkCenterCarrierFrequency,DownlinkCenterCarrierFrequency,下行信道带宽,网元名,经度,纬度,跟序列,方位角,业务IP地址,场景,站型,覆盖类型
滨海县自然村重整7,滨海县,866101_51,320936,14595376,866101,51,YC_BH_ZX_滨海县自然村重整7_FL9_B_1,51,463,20925,8,909.5,954.5,10(50RB)[3],YC_BH_ZX_滨海县H5滨海新生港闸沿海_FL9,120.151605,34.324654,188,120,1,1,宏站,1
滨海县自然村重整7,滨海县,866101_61,320936,14595376,866101,61,YC_BH_ZX_滨海县自然村重整7_FL9_C_1,61,464,20925,8,909.5,954.5,10(50RB)[3],YC_BH_ZX_滨海县H5滨海新生港闸沿海_FL9,120.151605,34.324654,192,240,1,1,宏站,1
阜宁县_阜宁合东_宏站型,阜宁县,865543_11,320937,14595085,865543,11,YC_FN_ZX_阜宁合东_FL9_A_1,11,357,20926,8,909.5,954.5,10(50RB)[3],YC_FN_ZX_阜宁合东_FL9,119.966031,33.781871,21,0,1,1,宏站,1
阜宁县_阜宁合东_宏站型,阜宁县,865543_21,320937,14595085,865543,21,YC_FN_ZX_阜宁合东_FL9_B_1,21,358,20926,8,909.5,954.5,10(50RB)[3],YC_FN_ZX_阜宁合东_FL9,119.966031,33.781871,28,120,1,1,宏站,1
阜宁县_阜宁合东_宏站型,阜宁县,865543_31,320937,14595085,865543,31,YC_FN_ZX_阜宁合东_FL9_C_1,31,359,20926,8,909.5,954.5,10(50RB)[3],YC_FN_ZX_阜宁合东_FL9,119.966031,33.781871,35,240,1,1,宏站,1
响水县_二十六村_宏站型,响水县,865194_51,320935,14595075,865194,51,YC_XS_ZX_响水二十六村_FL9_B_1,51,124,20409,8,909.5,954.5,10(50RB)[3],YC_XS_ZX_响水沙荡东_FL9,119.858001,34.338001,28,240,1,1,宏站,1
响水县_二十六村_宏站型,响水县,865194_61,320935,14595075,865194,61,YC_XS_ZX_响水二十六村_FL9_CA_1,61,125,20409,8,909.5,954.5,10(50RB)[3],YC_XS_ZX_响水沙荡东_FL9,119.858001,34.338001,35,0,1,1,宏站,1
特庸永星安置小区,射阳县,865713_11,320938,14595858,865713,11,YC_SY_ZX_射阳特庸永星安置小区_FL9_A_1,11,192,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射阳特庸永星安置小区_FL9,120.275031,33.513271,0,0,1,1,宏站,1
特庸永星安置小区,射阳县,865713_21,320938,14595858,865713,21,YC_SY_ZX_射阳特庸永星安置小区_FL9_B_1,21,193,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射阳特庸永星安置小区_FL9,120.275031,33.513271,63,120,1,1,宏站,1
特庸永星安置小区,射阳县,865713_31,320938,14595858,865713,31,YC_SY_ZX_射阳特庸永星安置小区_FL9_C_1,31,194,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射阳特庸永星安置小区_FL9,120.275031,33.513271,70,240,1,1,宏站,1
射阳条海安置区,射阳县,866223_11,320938,14595908,866223,11,YC_SY_ZX_射阳条海安置区_FL9_A_1,11,435,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射阳条海安置区_FL9,120.027103,33.693273,76,30,1,1,宏站,1
射阳条海安置区,射阳县,866223_21,320938,14595908,866223,21,YC_SY_ZX_射阳条海安置区_FL9_B_1,21,436,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射阳条海安置区_FL9,120.027103,33.693273,80,150,1,1,宏站,1
射阳条海安置区,射阳县,866223_31,320938,14595908,866223,31,YC_SY_ZX_射阳条海安置区_FL9_C_1,31,437,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射阳条海安置区_FL9,120.027103,33.693273,84,240,1,1,宏站,1
东台市_盐通高铁开发区站前路与东进大道交汇(台东局)_宏站型,东台市,865306_11,320933,14594680,865306,11,YC_DT_ZX_盐通高铁开发区站前路与东进大道交汇(台东局)_FL9_A_1,11,387,20922,8,909.5,954.5,10(50RB)[3],YC_DT_ZX_东台分公司BBU1_FL9,120.346741,32.857581,716,30,1,1,宏站,1
东台市_盐通高铁开发区站前路与东进大道交汇(台东局)_宏站型,东台市,865306_21,320933,14594680,865306,21,YC_DT_ZX_盐通高铁开发区站前路与东进大道交汇(台东局)_FL9_BC_1,21,388,20922,8,909.5,954.5,10(50RB)[3],YC_DT_ZX_东台分公司BBU1_FL9,120.346741,32.857581,720,90,1,1,宏站,1
大丰市盐徐与S226交界处,大丰区,866215_11,320934,14594903,866215,11,YC_DF_ZX_大丰市盐徐与S226交界处_FL9_AB_1,11,396,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_大丰市盐徐与S226交界处_FL9,120.535881,33.284391,752,0,1,1,宏站,1
大丰市盐徐与S226交界处,大丰区,866215_31,320934,14594903,866215,31,YC_DF_ZX_大丰市盐徐与S226交界处_FL9_C_1,31,398,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_大丰市盐徐与S226交界处_FL9,120.535881,33.284391,760,240,1,1,宏站,1
台南周家舍,东台市,865840_11,320933,14594601,865840,11,YC_DT_ZX_台南周家舍_FL9_AC_1,11,273,20922,8,909.5,954.5,10(50RB)[3],YC_DT_ZX_台南周家舍_FL9,120.299028,32.751181,0,0,1,1,宏站,1
台南周家舍,东台市,865840_21,320933,14594601,865840,21,YC_DT_ZX_台南周家舍_FL9_B_1,21,274,20922,8,909.5,954.5,10(50RB)[3],YC_DT_ZX_台南周家舍_FL9,120.299028,32.751181,7,120,1,1,宏站,1
响水县响水葛庄,响水县,866368_11,320935,14595104,866368,11,YC_XS_ZX_响水县响水葛庄_FL9_A_1,11,402,20408,8,909.5,954.5,10(50RB)[3],YC_XS_ZX_响水县响水葛庄_FL9,119.607101,34.185501,776,15,1,1,宏站,1
响水县响水葛庄,响水县,866368_21,320935,14595104,866368,21,YC_XS_ZX_响水县响水葛庄_FL9_B_1,21,403,20408,8,909.5,954.5,10(50RB)[3],YC_XS_ZX_响水县响水葛庄_FL9,119.607101,34.185501,780,140,1,1,宏站,1
